Locality,Municipality,Population(December 31th, 2017),Land area(hectare),Population density(inv./km²),Locality code,Latitude,Longitude
Gårdskär,Älvkarleby kommun,356,122,292,0552
Gårdstånga,Eslövs kommun,382,45,849,3436
Gåvsta,Uppsala kommun,560,55,1 018,0556
Gäddede,Strömsunds kommun,307,78,394,7840
Gällivare,Gällivare kommun,10 417,863,1 207,8596
Gällstad,Ulricehamns kommun,546,96,569,4852
Gällö,Bräcke kommun,732,119,615,7844
Gängletorp,Karlskrona kommun,511,108,473,2630
Gärds Köpinge,Kristianstads kommun,924,113,818,2896
Gärsnäs,Simrishamns kommun,1 100,110,1 000,2900
Gävle,Gävle kommun,76 031,3 975,1 913,7076
Göta,Lilla Edets kommun,1 070,140,764,4856
Göteborg,Göteborgs kommun,590 580,21 513,2 745,4368
Götene,Götene kommun,5 076,497,1 021,5280
Götlunda,Arboga kommun,271,45,602,6220
Habo,Habo kommun,8 039,602,1 335,5284
Hackås,Bergs kommun,523,142,368,7848
Haga,Enköpings kommun,278,34,818,0558
Hagby,Kalmars kommun,821,274,300,2244
Hagfors,Hagfors kommun,4 896,634,772,5688
Hagge,Smedjebackens kommun,301,46,654,6566
Hagryd-Dala,Kungsbacka kommun,845,217,389,3954
Hakkas,Gällivare kommun,373,128,291,8600
Halla Heberg,Kungsbacka kommun,1 704,410,416,3956
Hallabro,Ronneby kommun,274,61,449,2632
Hallen,Åre kommun,224,90,249,7852
Hallsberg,Hallsbergs kommun,8 409,960,876,5964
Hallstahammar,Hallstahammars kommun,11 072,822,1 347,6224
Hallstavik,Norrtälje kommun,4 645,496,936,0176
Halltorp,Kalmars kommun,293,69,425,2248
Halmstad,Halmstads kommun,68 085,3 650,1 865,3960
Halvarsgårdarna,Borlänge kommun,314,72,436,6568
Hamburgsund,Tanums kommun,688,137,502,4372
Hammar,Askersunds kommun,260,64,406,5968
Hammar,Kristianstads kommun,3 219,322,1 000,2904
Hammarby,Sandvikens kommun,516,104,496,7084
Hammarslund,Kristianstads kommun,787,43,1 830,2906
Hammarstrand,Ragunda kommun,1 173,290,404,7856
Hammenhög,Simrishamns kommun,915,128,715,2908
Hammerdal,Strömsunds kommun,1 081,359,301,7860
Hampetorp,Örebro kommun,312,134,233,5974
Hanaskog,Östra Göinge kommun,1 408,148,951,2912
Haparanda,Haparanda kommun,6 681,593,1 127,8604
Hara,Östersunds kommun,235,105,224,7864
Harads,Bodens kommun,518,117,443,8608
Harbo,Heby kommun,763,124,615,6228
Hargshamn,Östhammars kommun,295,104,284,0560
Harkie,Västerås kommun,273,119,229,6260
Harkskär och Utvalnäs,Gävle kommun,440,146,301,7346
Harlösa,Eslövs kommun,768,94,817,3440
